GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 15:35:00 Dated 2022-03-24,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
Name,Natiq Shakeel,Muhammad Tariq,Fahad Siddiq,AliKazmi,Tariq Usman Bhatti,Kalim Anwer,Adnan Latif Khan,Muhammad Tariq,Fma
GOPIS-20-30-04-2025,96.20,96.20,96.20,96.15,96.35,96.25,96.15,96.20,96.20
GOPIS-21-29-05-2025,100.20,100.20,100.20,100.00,100.00,100.20,100.00,100.20,100.13
GOPIS-22-24-06-2025,100.05,100.05,100.05,100.05,100.00,100.10,100.00,100.05,100.04
GOPIS-VRR-29-07-2025,100.00,99.90,100.00,99.95,100.20,99.80,99.80,99.95,99.93
GOPIS-FRR-29-07-2025,95.00,95.75,95.75,95.75,92.00,95.75,94.75,95.75,95.46
GOPIS-VRR-09-12-2025,100.20,100.25,100.25,100.00,100.25,100.50,99.90,100.25,100.20
GOPIS-FRR-20-01-2026,96.00,97.00,97.00,96.75,94.00,97.00,97.00,97.00,96.79
GOPIS-VRR-06-10-2026,100.00,100.00,99.95,99.30,99.35,99.60,100.00,99.40,99.72
GOPIS-FRR-06-10-2026,97.00,98.00,98.00,98.25,94.50,98.00,97.50,98.00,97.75
GOPIS-VRR-29-10-2026,99.90,99.95,99.85,99.85,99.90,99.90,99.90,99.90,99.89
GOPIS-FRR-15-12-2026,100.50,100.50,100.50,100.75,99.50,100.50,100.00,100.50,100.42
