, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,13-Jun-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY,MATURITY,AHL,ALFA,BCAP,BMA,C&M,CEL,CMKA,MCPK,AVG. RATE
,,,,,,,,,,
GOPIS-VRR,26-Jun-24, 100.00 , -   , 99.95 , 99.93 , 100.05 , 100.02 , 99.95 , 99.95 , 100.05 
GOPIS-FRR,26-Jun-24, 100.70 , -   , 100.00 , 100.30 , 100.30 , 100.00 , 100.25 , 100.30 , 100.17 
GOPIS-VRR,12-Jul-24, 100.20 , -   , 100.05 , 100.05 , 100.06 , 100.05 , 100.05 , 100.05 , 100.10 
GOPIS-FRR,12-Jul-24, 100.00 , -   , 100.05 , 100.05 , 100.05 , 100.07 , 100.05 , 100.05 , 100.04 
GOPIS-VRR,7-Aug-24, 100.10 , -   , 99.95 , 99.90 , 100.05 , 100.05 , 99.00 , 99.95 , 100.10 
GOPIS-FRR,7-Aug-24, 100.00 , -   , 100.00 , 100.00 , 100.00 , 100.05 , 100.00 , 100.00 , 100.02 
GOPIS-VRR,20-Sep-24, 100.00 , -   , 100.00 , 100.00 , 100.00 , 99.50 , 100.00 , 100.00 , 100.06 
GOPIS-FRR,20-Sep-24, 100.00 , -   , 100.40 , 100.40 , 100.40 , 100.05 , 100.35 , 100.35 , 100.31 
GOPIS-VRR,9-Oct-24, 100.35 , -   , 100.04 , 101.20 , 100.25 , 100.22 , 100.00 , 100.25 , 100.31 
GOPIS-FRR,9-Oct-24, 100.75 , -   , 100.75 , 100.75 , 100.75 , 100.70 , 100.70 , 100.75 , 100.72 
