GOPIS-VRR,4-Dec-24, 100.15 , -   , 99.90 , 100.00 , 100.20 , 100.12 , 99.90 , 99.90 , 100.22 
GOPIS-VRR,30-Apr-25, 98.95 , -   , 99.30 , 99.40 , 99.25 , 99.20 , 99.00 , 99.50 , 99.31 
GOPIS-VRR,29-May-25, 99.40 , -   , 99.50 , 99.50 , 99.80 , 99.90 , 99.50 , 99.40 , 99.76 
GOPIS-VRR,24-Jun-25, 99.25 , -   , 99.75 , 99.80 , 99.80 , 100.40 , 99.80 , 99.80 , 99.88 
GOPIS-VRR,29-Jul-25, 101.00 , -   , 99.95 , 99.90 , 99.89 , 99.90 , 99.90 , 99.90 , 100.00 
GOPIS-FRR,29-Jul-25, 83.02 , -   , 84.10 , 84.00 , 86.00 , 89.15 , 84.00 , 84.00 , 85.82 
GOPIS-VRR,9-Dec-25, 101.00 , -   , 100.90 , 100.90 , 100.85 , 100.20 , 100.90 , 100.90 , 100.76 
GOPIS-VRR,5-Jan-26, 99.00 , -   , 99.00 , 99.00 , 99.00 , 99.50 , 99.50 , 99.00 , 99.21 
GOPIS-FRR,20-Jan-26, 83.00 , -   , 84.00 , 84.00 , 84.00 , 88.90 , 84.00 , 84.00 , 84.40 
GOPIS-FRR,17-Apr-26, 98.50 , -   , 100.45 , 100.50 , 100.50 , 101.50 , 100.50 , 100.50 , 100.52 
GOPIS-FRR,26-Jun-26, 103.60 , -   , 103.00 , 103.00 , 103.00 , 103.60 , 103.00 , 103.00 , 103.52 
GOPIS-VRR,12-Jul-26, 100.00 , -   , 100.00 , 100.00 , 100.00 , 100.30 , 100.20 , 100.00 , 100.20 
GOPIS-VRR,6-Oct-26, 101.00 , -   , 100.80 , 100.75 , 100.25 , 100.00 , 100.20 , 100.90 , 100.38 
GOPIS-FRR,6-Oct-26, 83.00 , -   , 84.00 , 84.00 , 84.00 , 85.50 , 84.00 , 84.00 , 83.90 
GOPIS-VRR,29-Oct-26, 101.20 , -   , 100.25 , 100.25 , 100.40 , 101.50 , 100.25 , 100.25 , 100.82 
GOPIS-VRR,4-Dec-26, 99.65 , -   , 99.65 , 99.60 , 99.75 , 99.80 , 99.60 , 99.60 , 99.77 
GOPIS-FRR,4-Dec-26, 100.40 , -   , 100.20 , 100.05 , 100.00 , 100.00 , 101.55 , 100.20 , 100.07 
GOPIS-FRR,15-Dec-26, 85.00 , -   , 87.00 , 87.00 , 88.00 , 88.00 , 87.00 , 87.00 , 87.80 
GOPIS-VRR,27-Apr-27, 101.50 , -   , 100.75 , 100.80 , 100.45 , 100.60 , 100.40 , 100.80 , 100.62 
GOPIS-FRR,27-Apr-27, 87.00 , -   , 88.50 , 89.00 , 88.00 , 89.00 , 88.50 , 89.00 , 88.30 
GOPIS-VRR,26-Oct-27, 100.25 , -   , 100.25 , 100.30 , 100.45 , 101.00 , 100.25 , 100.25 , 100.56 
GOPIS-FRR,16-Nov-27, 87.50 , -   , 89.00 , 89.00 , 89.00 , 88.00 , 89.00 , 89.00 , 88.35 
GOPIS-VRR,26-Jun-28, 103.55 , -   , 102.90 , 102.90 , 103.00 , 103.00 , 102.50 , 103.00 , 103.11 
GOPIS-FRR,20-Sep-28, 101.75 , -   , 101.75 , 101.75 , 101.75 , 101.50 , 101.70 , 101.70 , 101.69 
GOPIS-VRR,4-Dec-28, 100.00 , -   , 100.00 , 100.00 , 100.20 , 100.10 , -   , 100.00 , 100.22 
GOPIS-FRR,4-Dec-28, 101.50 , -   , 100.50 , 100.50 , 100.50 , 101.25 , -   , 100.50 , 101.40 
GOPIS-FRR,4-Dec-28, 100.60 , 100.40 , 100.50 , 100.50 , 100.50 , 100.50 , 100.50 , 100.50 , 100.50 
