FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.53,-0.05
GOPIS-21-29-05-2025,GIS (VRR) -19,100.66,-0.08
GOPIS-22-24-06-2025,GIS (VRR) -20,100.50,-0.19
GOPIS-23-29-07-2025,GIS (VRR) -21,100.97,-0.38
GOPIS-24-29-07-2025,GIS (FRR) -04,98.39,0.31
GOPIS-25-09-12-2025,GIS (VRR) -22,100.68,-0.09
GOPIS-26-20-01-2026,GIS (FRR) -07,97.53,1.71
GOPIS-27-06-10-2026,GIS (FRR) -08,96.59,1.54
GOPIS-28-06-10-2026,GIS (VRR) -23,101.84,0.20
GOPIS-29-29-10-2026,GIS (VRR) -24,101.83,-0.05
GOPIS-30-15-12-2026,GIS (FRR) -11,101.15,0.07
GOPIS-31-27-04-2027,GIS (VRR) -25,103.15,0.67
GOPIS-32-27-04-2027,GIS (FRR) -12,101.84,0.64
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.83,0.35
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.05,1.25
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.57,-0.10
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.88,0.41
GOPIS-48-26-06-2026,GIS (FRR) - 24,109.96,0.16
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.93,-0.19
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.63,-0.17
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.26,1.21
GOPIS-65-04-12-2026,GIS (VRR) - 41,101.40,-0.12
GOPIS-66-04-12-2028,GIS (VRR) - 42,103.77,0.71
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.97,0.31
GOPIS-68-04-12-2028,GIS (FRR) - 34,110.09,1.14
