10:06 27JUN22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,97.00,96.95,96.95,97.00,96.85,97.00,97.00,96.95,96.98,
GOPIS 29-05-2025 ,100.20,100.10,100.15,99.75,99.90,100.10,100.10,100.10,100.08,
GOPIS 24-06-2025 ,99.70,99.70,99.70,99.50,99.50,99.70,99.90,99.70,99.67,
GOPISV-29-07-2025,99.55,99.50,99.55,99.00,99.60,99.50,99.50,99.50,99.52,
GOPISF-29-07-2025,93.40,93.40,93.40,94.00,90.00,93.75,93.00,93.50,93.41,
GOPISV-09-12-2025,100.10,100.05,100.00,99.25,99.90,99.50,100.00,100.00,99.91,
GOPISF-20-01-2026,93.80,93.80,93.80,94.00,92.00,93.80,93.80,93.80,93.80,
GOPISV-06-10-2026,99.70,99.70,99.70,100.00,99.00,99.70,99.70,99.70,99.70,
GOPISF-06-10-2026,94.10,94.00,94.00,94.25,90.00,94.25,94.00,94.00,94.06,
GOPISV-29-10-2026,99.90,100.10,100.05,99.50,99.90,100.05,100.15,100.00,100.00,
GOPISF-15-12-2026,96.00,96.00,96.00,99.00,95.00,96.25,96.00,96.00,96.04,
GOPISF-27-04-2027,99.80,99.90,99.80,100.00,99.00,100.00,98.40,99.90,99.73,
GOPISV-27-04-2027,99.90,99.85,99.85,99.50,99.75,99.90,99.70,99.90,99.83,
