FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.53,0.00
GOPIS-21-29-05-2025,GIS (VRR) -19,100.68,0.00
GOPIS-22-24-06-2025,GIS (VRR) -20,100.56,0.00
GOPIS-23-29-07-2025,GIS (VRR) -21,100.47,0.00
GOPIS-24-29-07-2025,GIS (FRR) -04,98.51,0.00
GOPIS-25-09-12-2025,GIS (VRR) -22,100.76,0.00
GOPIS-26-20-01-2026,GIS (FRR) -07,97.93,0.00
GOPIS-27-06-10-2026,GIS (FRR) -08,96.85,0.00
GOPIS-28-06-10-2026,GIS (VRR) -23,102.28,-0.06
GOPIS-29-29-10-2026,GIS (VRR) -24,101.83,-0.07
GOPIS-30-15-12-2026,GIS (FRR) -11,101.16,0.00
GOPIS-31-27-04-2027,GIS (VRR) -25,103.37,0.00
GOPIS-32-27-04-2027,GIS (FRR) -12,101.80,0.00
GOPIS-33-26-10-2027,GIS (VRR) - 26,103.02,0.00
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.28,0.00
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.63,0.00
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.79,0.00
GOPIS-48-26-06-2026,GIS (FRR) - 24,109.87,0.00
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.90,0.00
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.65,0.00
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.75,0.06
GOPIS-65-04-12-2026,GIS (VRR) - 41,101.81,0.00
GOPIS-66-04-12-2028,GIS (VRR) - 42,104.06,0.00
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.06,0.06
GOPIS-68-04-12-2028,GIS (FRR) - 34,111.70,0.00
