10:06 23JUN22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,97.00,96.90,0.00,96.90,96.85,97.00,97.00,96.95,96.95,
GOPIS 29-05-2025 ,100.20,100.10,0.00,100.50,99.90,100.10,100.10,100.10,100.13,
GOPIS 24-06-2025 ,99.70,99.70,0.00,99.50,99.50,99.70,99.90,99.70,99.66,
GOPISV-29-07-2025,99.60,99.50,0.00,99.65,99.60,99.50,99.50,99.50,99.54,
GOPISF-29-07-2025,93.50,93.40,0.00,94.00,90.00,93.75,93.00,93.50,93.43,
GOPISV-09-12-2025,100.10,100.05,0.00,100.20,99.90,99.50,100.00,100.00,100.01,
GOPISF-20-01-2026,93.80,93.80,0.00,94.00,92.00,93.80,93.80,93.75,93.79,
GOPISV-06-10-2026,99.70,99.70,0.00,100.00,99.00,99.70,99.70,99.70,99.70,
GOPISF-06-10-2026,94.10,94.00,0.00,94.25,90.00,94.25,94.00,94.00,94.07,
GOPISV-29-10-2026,100.00,100.10,0.00,100.50,99.90,100.05,100.15,100.00,100.06,
GOPISF-15-12-2026,96.00,96.00,0.00,96.00,95.00,96.25,96.00,96.00,96.00,
GOPISF-27-04-2027,99.90,99.90,0.00,99.90,99.00,100.00,98.40,99.90,99.72,
GOPISV-27-04-2027,99.90,99.85,0.00,99.90,99.75,99.90,99.55,99.90,99.86,
