10:06 14JUN23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>         <PKNOTES>                Contd..<PKISRV1>,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, ALF, BCA,  BMA ,  C&M ,CEL ,  CMKA, MCPL  ,Avg Rate,
,,,,,,,,,,
GOPISV-20-02-2024,99.00,96.40,98.75,98.75,98.70,98.70,98.75,98.75,98.73,
GOPISF-20-02-2024,98.00,99.25,98.00,98.00,98.00,98.00,98.00,98.00,98.00,
GOPISV-08-03-2024,100.10,99.20,100.10,100.10,100.10,100.15,100.10,100.10,100.11,
GOPISF-08-03-2024,100.30,99.40,100.20,100.30,100.20,100.30,100.30,100.30,100.28,
GOPISV-17-04-2024,100.10,85.50,100.05,100.05,100.00,100.05,100.05,100.05,100.05,
GOPISF-17-04-2024,100.10,99.70,100.10,100.10,100.10,100.15,100.10,100.10,100.11,
GOPISV-22-05-2024,100.10,88.00,100.10,100.10,100.00,100.08,100.10,100.10,100.09,
GOPISF-22-05-2024,100.00,99.45,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
GOPIS 30-04-2025 ,96.30,89.00,96.50,96.50,96.40,96.50,96.40,96.50,96.43,
GOPIS 29-05-2025 ,99.30,99.50,99.30,99.50,99.25,99.30,99.30,99.30,99.33,
GOPIS 24-06-2025 ,99.30,90.00,99.00,98.50,99.10,99.00,99.40,99.45,99.05,
GOPISV-29-07-2025,99.50,92.00,99.40,99.40,99.40,99.40,99.40,99.40,99.40,
GOPISF-29-07-2025,85.00,99.30,85.75,86.00,85.50,86.00,85.50,86.00,85.79,
GOPISV-09-12-2025,99.70,99.65,99.75,99.75,99.70,99.80,99.70,99.70,99.72,
GOPISV-05-01-2026,99.00,96.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,
GOPISF-20-01-2026,86.50,99.00,88.00,88.00,88.00,88.00,88.00,88.00,88.00,
GOPISF-17-04-2026,100.00,98.75,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
GOPISV-06-10-2026,99.35,98.00,99.50,99.50,99.45,99.50,99.50,99.50,99.47,
GOPISF-06-10-2026,88.00,100.10,89.00,89.00,89.00,89.00,89.00,89.00,89.00,
GOPISV-29-10-2026,99.20,100.25,99.30,99.30,99.30,99.25,99.30,99.30,99.29,
GOPISF-15-12-2026,89.50,100.05,90.00,90.25,90.00,90.25,90.00,90.50,90.17,
GOPISF-27-04-2027,92.00,100.10,92.50,92.40,92.40,92.50,92.40,92.40,92.43,
GOPISV-27-04-2027,99.25,100.00,99.40,99.40,99.35,99.50,99.35,99.40,99.40,
GOPISV-26-10-2027,99.90,99.90,99.70,99.80,99.50,99.70,99.60,99.60,99.72,
GOPISF-16-11-2027,95.00,100.00,96.70,97.00,96.70,97.00,96.70,97.00,96.85,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
