, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,14-Oct-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,4-Dec-24, -   , -   , 100.90 , -   , 100.70 , 100.90 , -   , 11.00 , 78.38 
GOPIS-VRR,30-Apr-25, -   , -   , 100.20 , -   , 100.50 , 100.25 , -   , 100.50 , 100.36 
GOPIS-VRR,29-May-25, -   , -   , 101.20 , -   , 101.30 , 101.00 , -   , 101.50 , 101.25 
GOPIS-VRR,24-Jun-25, -   , -   , 101.20 , -   , 101.20 , 100.80 , -   , 101.00 , 101.05 
GOPIS-VRR,29-Jul-25, -   , -   , 101.50 , -   , 101.50 , 102.50 , -   , 101.50 , 101.75 
GOPIS-FRR,29-Jul-25, -   , -   , 95.75 , -   , 94.00 , 95.50 , -   , 96.50 , 95.44 
GOPIS-VRR,9-Dec-25, -   , -   , 101.25 , -   , 100.90 , 101.00 , -   , 101.25 , 101.10 
GOPIS-VRR,5-Jan-26, -   , -   , 100.50 , -   , 99.80 , 101.00 , -   , 101.25 , 100.64 
GOPIS-FRR,20-Jan-26, -   , -   , 95.00 , -   , 96.00 , 95.00 , -   , 95.00 , 95.25 
GOPIS-FRR,17-Apr-26, -   , -   , 107.00 , -   , 108.00 , 107.00 , -   , 107.00 , 107.25 
GOPIS-FRR,26-Jun-26, -   , -   , 108.25 , -   , 109.00 , 108.10 , -   , 108.25 , 108.40 
GOPIS-VRR,12-Jul-26, -   , -   , 102.50 , -   , 101.25 , 102.50 , -   , 103.00 , 102.31 
GOPIS-VRR,6-Oct-26, -   , -   , 101.25 , -   , 101.50 , 102.50 , -   , 101.00 , 101.56 
GOPIS-FRR,6-Oct-26, -   , -   , 94.50 , -   , 95.00 , 95.00 , -   , 94.50 , 94.75 
GOPIS-VRR,29-Oct-26, -   , -   , 101.50 , -   , 101.25 , 102.00 , -   , 101.75 , 101.63 
GOPIS-VRR,4-Dec-26, -   , -   , 102.50 , -   , 102.50 , 102.75 , -   , 102.25 , 102.50 
GOPIS-FRR,4-Dec-26, -   , -   , 106.50 , -   , 107.00 , 106.50 , -   , 106.00 , 106.50 
GOPIS-FRR,15-Dec-26, -   , -   , 98.75 , -   , 98.00 , 98.25 , -   , 98.25 , 98.31 
GOPIS-VRR,27-Apr-27, -   , -   , 102.50 , -   , 103.00 , 103.00 , -   , 102.75 , 102.81 
GOPIS-FRR,27-Apr-27, -   , -   , 99.50 , -   , 98.00 , 99.50 , -   , 99.50 , 99.13 
GOPIS-VRR,26-Oct-27, -   , -   , 102.50 , -   , 102.00 , 102.00 , -   , 102.50 , 102.25 
GOPIS-FRR,16-Nov-27, -   , -   , 99.00 , -   , 98.50 , 99.00 , -   , 99.50 , 99.00 
GOPIS-VRR,26-Jun-28, -   , -   , 105.50 , -   , 104.00 , 105.85 , -   , 106.25 , 105.40 
GOPIS-FRR,20-Sep-28, -   , -   , 109.50 , -   , 108.00 , 110.00 , -   , 110.00 , 109.38 
