10:05 12MAY22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,97.00,96.70,0.00,97.00,97.50,97.00,96.60,96.70,96.88,
GOPIS 29-05-2025 ,100.20,99.80,0.00,100.25,100.10,100.05,99.80,99.75,100.00,
GOPIS 24-06-2025 ,99.75,99.70,0.00,99.50,99.00,100.00,99.75,99.75,99.69,
GOPISV-29-07-2025,99.35,99.15,0.00,99.35,99.35,99.90,99.00,99.15,99.27,
GOPISF-29-07-2025,94.00,94.20,0.00,94.00,90.50,94.50,93.00,93.75,93.79,
GOPISV-09-12-2025,99.50,99.50,0.00,99.25,99.70,99.75,99.50,99.50,99.54,
GOPISF-20-01-2026,94.10,94.10,0.00,94.00,91.50,94.50,93.80,93.75,93.95,
GOPISV-06-10-2026,99.70,99.70,0.00,100.00,99.00,99.90,98.75,99.75,99.61,
GOPISF-06-10-2026,94.30,94.30,0.00,94.25,91.50,94.50,94.00,93.75,94.12,
GOPISV-29-10-2026,100.10,100.00,0.00,100.50,100.30,99.95,100.20,99.75,100.11,
GOPISF-15-12-2026,96.50,96.65,0.00,96.00,96.50,96.50,96.25,96.50,96.45,
GOPISF-27-04-2027,100.00,100.00,0.00,100.00,99.75,100.05,100.00,99.95,99.99,
GOPISV-27-04-2027,99.90,100.05,0.00,99.85,99.90,100.10,99.86,99.95,99.93,
