10:05 23MAY23    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>         <PKNOTES>                Contd..<PKISRV1>,,,,,,,,,,
,,,,,,,,,,
                 ,  AHL, ALF, BCA,  BMA ,  C&M ,CEL ,  CMKA, MCPL  ,Avg Rate,
,,,,,,,,,,
GOPISV-20-02-2024,98.85,0.00,98.75,98.75,98.70,98.70,98.70,98.75,98.73,
GOPISF-20-02-2024,98.00,0.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,
GOPISV-08-03-2024,100.10,0.00,100.10,100.10,100.10,100.15,100.10,100.10,100.10,
GOPISF-08-03-2024,100.30,0.00,100.20,100.30,100.30,100.30,100.30,100.30,100.30,
GOPISV-17-04-2024,100.10,0.00,100.10,100.07,100.00,100.07,100.05,100.07,100.07,
GOPISF-17-04-2024,100.20,0.00,100.10,100.25,100.10,100.20,100.15,100.20,100.17,
GOPISV-22-05-2024,100.10,0.00,100.10,100.10,100.10,100.00,100.05,100.00,100.07,
GOPISF-22-05-2024,100.00,0.00,100.00,100.00,100.10,100.00,100.15,100.00,100.04,
GOPIS 30-04-2025 ,96.45,0.00,96.50,96.50,96.50,96.50,96.50,96.50,96.50,
GOPIS 29-05-2025 ,99.30,0.00,99.30,99.30,99.25,99.30,99.30,99.30,99.30,
GOPIS 24-06-2025 ,98.70,0.00,98.90,99.00,98.75,99.00,98.50,98.50,98.77,
GOPISV-29-07-2025,99.40,0.00,99.40,99.35,99.40,99.40,99.40,99.50,99.40,
GOPISF-29-07-2025,85.20,0.00,85.75,86.00,85.50,86.00,85.00,86.00,85.69,
GOPISV-09-12-2025,99.70,0.00,99.75,99.75,99.75,99.80,99.50,99.50,99.69,
GOPISV-05-01-2026,99.00,0.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,
GOPISF-20-01-2026,8687.00,0.00,88.00,88.00,88.00,88.00,88.00,89.50,88.00,
GOPISF-17-04-2026,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
GOPISV-06-10-2026,99.45,0.00,99.50,99.50,99.50,99.50,99.50,99.50,99.50,
GOPISF-06-10-2026,89.75,0.00,90.00,90.50,90.00,90.25,89.50,90.50,89.00,
GOPISV-29-10-2026,99.30,0.00,99.30,99.30,99.30,99.25,99.30,99.30,99.30,
GOPISF-15-12-2026,89.75,0.00,90.00,90.50,90.00,90.25,89.50,90.50,90.10,
GOPISF-27-04-2027,92.15,0.00,92.75,92.75,92.40,92.50,92.00,92.75,92.51,
GOPISV-27-04-2027,99.35,0.00,99.50,99.40,99.40,99.50,99.40,99.40,99.42,
GOPISV-26-10-2027,99.90,0.00,99.80,99.80,99.60,99.50,99.50,99.90,99.72,
GOPISF-16-11-2027,96.00,0.00,96.70,97.00,96.70,97.00,96.70,97.00,96.82,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
