GOP Ijarah Sukuk Fixing,,,,,,,,,
GOP Ijarah Sukuk Rates,,,,,,,,,
Updated at 12:05:00 Dated 2022-04-08,,,,,,,,,
,,,,,,,,,
User,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,Fma
,,,,,,,,,
GOPIS-20-30-04-2025,96.20,96.20,96.20,96.19,96.00,96.20,0.00,96.20,96.20
GOPIS-21-29-05-2025,100.20,100.20,100.20,100.10,100.00,100.20,0.00,100.00,100.14
GOPIS-22-24-06-2025,100.05,100.05,100.05,100.00,99.90,100.10,0.00,100.05,100.04
GOPIS-VRR-29-07-2025,99.90,99.90,99.96,99.80,99.90,99.90,0.00,99.85,99.89
GOPIS-FRR-29-07-2025,95.75,94.00,95.00,92.50,94.00,95.75,0.00,95.00,94.75
GOPIS-VRR-09-12-2025,100.20,100.15,100.15,99.90,100.00,100.10,0.00,99.95,100.07
GOPIS-FRR-20-01-2026,95.00,94.50,94.00,93.50,95.00,94.00,0.00,95.00,94.50
GOPIS-VRR-06-10-2026,100.10,100.00,100.00,100.00,100.05,100.00,0.00,100.10,100.03
GOPIS-FRR-06-10-2026,95.00,94.60,94.00,93.00,94.50,94.15,0.00,95.00,94.45
GOPIS-VRR-29-10-2026,100.00,100.00,100.00,100.00,100.00,100.00,0.00,99.90,100.00
GOPIS-FRR-15-12-2026,100.00,99.50,100.00,99.00,100.05,99.00,0.00,100.00,99.70
