GOPIS-VRR,12-Jul-26, 100.00 , 100.25 , -   , 100.00 , 100.00 , -   , 100.00 , 100.00 , 100.04 
GOPIS-VRR,6-Oct-26, 101.00 , 101.00 , -   , 101.00 , 101.00 , -   , 101.00 , 101.00 , 101.00 
GOPIS-FRR,6-Oct-26, 83.00 , 84.00 , -   , 84.00 , 84.00 , -   , 84.00 , 84.50 , 83.92 
GOPIS-VRR,29-Oct-26, 101.20 , 101.20 , -   , 101.50 , 101.50 , -   , 101.50 , 101.50 , 101.40 
GOPIS-VRR,4-Dec-26, 100.10 , 99.90 , -   , 100.00 , 99.95 , -   , 100.00 , 100.00 , 99.99 
GOPIS-FRR,4-Dec-26, 100.40 , 100.10 , -   , 100.30 , 100.30 , -   , 100.30 , 100.40 , 100.30 
GOPIS-FRR,15-Dec-26, 85.00 , 87.00 , -   , 87.00 , 87.00 , -   , 87.00 , 87.00 , 86.67 
GOPIS-VRR,27-Apr-27, 101.50 , 101.50 , -   , 101.50 , 101.50 , -   , 101.50 , 101.50 , 101.50 
GOPIS-FRR,27-Apr-27, 87.00 , 87.00 , -   , 89.00 , 88.00 , -   , 89.00 , 89.00 , 88.17 
GOPIS-VRR,26-Oct-27, 101.85 , 101.25 , -   , 101.75 , 101.80 , -   , 101.75 , 101.80 , 101.70 
GOPIS-FRR,16-Nov-27, 87.50 , 88.00 , -   , 88.50 , 89.00 , -   , 89.00 , 89.00 , 88.50 
GOPIS-VRR,26-Jun-28, 103.55 , 102.50 , -   , 103.25 , 103.25 , -   , 103.40 , 103.50 , 103.24 
GOPIS-FRR,20-Sep-28, 101.75 , 101.75 , -   , 101.75 , 101.80 , -   , 101.75 , 101.80 , 101.77 
GOPIS-VRR,4-Dec-28, 100.20 , 100.05 , -   , 100.10 , 100.05 , -   , 100.10 , 100.10 , 100.10 
GOPIS-FRR,4-Dec-28, 100.60 , 100.50 , -   , 100.50 , 100.50 , -   , 100.50 , 100.50 , 100.52 
