, GOP IJARAH SUKUK REVALUATION                                                   ,,,,,,,,,
 ,9-Oct-24,PK99999            PKISRV,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DSPLY_NAME,MATUR_DATE,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1,PRIMACT_1
SECURITY  ,MATURITY,  AHL     , ALFA     ,  C&M     ,  CEL     , ICON     ,IONE      ,  PCPL    ,  VCPL    ,AVG. RATE
GOPIS-VRR,9-Oct-24, 100.20 , -   , 100.15 , 100.00 , 100.25 , 100.05 , -   , 100.25 , 100.15 
GOPIS-FRR,9-Oct-24, 100.01 , -   , 100.20 , 100.00 , 100.25 , 100.20 , -   , 100.20 , 100.14 
GOPIS-VRR,4-Dec-24, 100.90 , -   , 100.70 , 100.60 , 100.70 , 100.90 , -   , 101.00 , 100.80 
GOPIS-VRR,30-Apr-25, 100.30 , -   , 100.20 , 100.25 , 100.50 , 100.25 , -   , 100.50 , 100.33 
GOPIS-VRR,29-May-25, 101.25 , -   , 101.20 , 101.20 , 101.30 , 101.00 , -   , 101.50 , 101.24 
GOPIS-VRR,24-Jun-25, 101.10 , -   , 101.20 , 101.20 , 101.20 , 100.80 , -   , 101.00 , 101.08 
GOPIS-VRR,29-Jul-25, 102.25 , -   , 101.50 , 102.50 , 101.50 , 101.50 , -   , 101.50 , 101.79 
GOPIS-FRR,29-Jul-25, 95.66 , -   , 95.75 , 96.00 , 94.00 , 95.50 , -   , 96.50 , 95.57 
GOPIS-VRR,9-Dec-25, 101.00 , -   , 101.25 , 101.00 , 100.90 , 101.00 , -   , 101.25 , 101.07 
GOPIS-VRR,5-Jan-26, 100.65 , -   , 100.50 , 101.00 , 99.80 , 101.00 , -   , 101.25 , 100.70 
GOPIS-FRR,20-Jan-26, 95.08 , -   , 94.00 , 95.50 , 96.00 , 95.00 , -   , 95.00 , 95.10 
GOPIS-FRR,17-Apr-26, 106.32 , -   , 107.00 , 107.00 , 108.00 , 107.00 , -   , 107.00 , 107.05 
GOPIS-FRR,26-Jun-26, 108.06 , -   , 108.25 , 108.15 , 109.00 , 108.10 , -   , 108.25 , 108.30 
GOPIS-VRR,12-Jul-26, 102.40 , -   , 102.50 , 103.00 , 101.25 , 102.50 , -   , 103.00 , 102.44 
GOPIS-VRR,6-Oct-26, 101.10 , -   , 101.00 , 101.25 , 101.50 , 102.50 , -   , 101.00 , 101.39 
GOPIS-FRR,6-Oct-26, 94.23 , -   , 94.50 , 94.50 , 95.00 , 95.00 , -   , 94.50 , 94.62 
GOPIS-VRR,29-Oct-26, 101.50 , -   , 101.50 , 101.30 , 101.25 , 102.00 , -   , 101.75 , 101.55 
GOPIS-VRR,4-Dec-26, 102.73 , -   , 102.50 , 102.60 , 102.50 , 102.50 , -   , 102.25 , 102.51 
GOPIS-FRR,4-Dec-26, 105.85 , -   , 106.00 , 106.50 , 107.00 , 106.50 , -   , 106.00 , 106.31 
GOPIS-FRR,15-Dec-26, 96.75 , -   , 98.25 , 98.25 , 98.00 , 98.25 , -   , 98.25 , 97.96 
GOPIS-VRR,27-Apr-27, 102.50 , -   , 102.50 , 101.90 , 103.00 , 103.00 , -   , 102.75 , 102.61 
GOPIS-FRR,27-Apr-27, 98.74 , -   , 99.50 , 99.75 , 98.00 , 99.50 , -   , 99.50 , 99.17 
GOPIS-VRR,26-Oct-27, 102.00 , -   , 102.50 , 101.90 , 102.00 , 102.00 , -   , 102.50 , 102.15 
GOPIS-FRR,16-Nov-27, 98.72 , -   , 99.00 , 99.75 , 98.50 , 99.00 , -   , 99.50 , 99.08 
GOPIS-VRR,26-Jun-28, 105.50 , -   , 106.00 , 105.50 , 104.00 , 106.25 , -   , 106.25 , 105.58 
GOPIS-FRR,20-Sep-28, 109.95 , -   , 109.00 , 110.00 , 108.00 , 110.00 , -   , 110.00 , 109.49 
GOPIS-VRR,4-Dec-28, 104.25 , -   , 104.00 , 103.75 , 105.00 , 104.75 , -   , 104.50 , 104.38 
GOPIS-FRR,4-Dec-28, 108.59 , -   , 108.60 , 109.00 , 107.00 , 108.50 , -   , 108.75 , 108.41 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
