09:04 19APR22    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,96.20,96.20,96.20,96.20,97.00,96.20,96.60,96.20,96.27,
GOPIS 29-05-2025 ,100.20,100.20,100.20,100.20,99.90,100.20,100.00,100.20,100.17,
GOPIS 24-06-2025 ,100.05,100.05,100.05,100.05,99.90,100.05,100.00,100.00,100.03,
GOPISV-29-07-2025,99.90,99.90,99.96,99.80,99.75,99.90,99.90,99.90,99.88,
GOPISF-29-07-2025,95.00,94.50,95.00,94.50,94.60,95.50,94.75,94.75,94.77,
GOPISV-09-12-2025,100.10,99.90,100.15,99.95,99.85,100.15,99.75,99.95,99.98,
GOPISF-20-01-2026,95.00,94.50,94.00,95.00,95.00,95.00,94.00,94.50,94.67,
GOPISV-06-10-2026,100.10,100.00,100.00,100.15,100.30,100.00,100.00,100.00,100.04,
GOPISF-06-10-2026,94.50,94.60,94.00,94.50,94.75,94.50,94.50,94.50,94.52,
GOPISV-29-10-2026,100.00,100.01,100.10,100.00,100.00,100.00,100.00,100.00,100.00,
GOPISF-15-12-2026,100.00,99.80,99.85,99.95,99.90,99.90,100.00,99.95,99.93,
